,Altitude,CO2,Coolant,Litre per 100km(Instant),GPS Speed,Latitude,Longitude,OBD Speed,RPM
0,199.59,0.0,58.0,0.0,0.0,59.84140015,10.82916927,0.0,783.0
1,199.43714285714285,0.0,58.0,0.0,0.0,59.84140015000001,10.829169269999998,0.0,779.0
2,199.12,0.0,58.0,0.0,0.0,59.841400150000005,10.82916927,0.0,778.0
3,199.12142857142857,0.0,58.0,0.0,0.0,59.84140015000001,10.829169269999998,0.0,778.0
4,199.12999999999997,0.0,58.0,0.0,0.0,59.84140015000001,10.829169269999998,0.0,1716.0
5,199.13,0.0,58.0,0.0,0.0,59.841400150000005,10.82916927,0.0,2165.0
6,199.12999999999997,0.0,58.0,0.0,0.0,59.84139143000001,10.829171995714287,0.0,2165.0
7,199.13285714285712,0.0,59.0,0.0,2.1,59.84136963000002,10.829180172857145,4.0,1808.0
8,199.14166666666665,0.0,59.0,82.99333333333334,5.23,59.84136899333334,10.829190255,6.0,1704.0
9,199.15285714285716,0.0,59.0,62.33428571428572,7.33,59.841367989999995,10.829237527142856,8.0,1732.0
10,199.17142857142858,0.0,59.0,41.60142857142858,9.57,59.841376711428566,10.829292432857143,14.0,1908.0
11,199.18500000000003,501.5833333333333,59.0,24.09166666666667,11.55,59.84138552499999,10.829355873333334,15.0,2063.0
12,199.21571428571428,829.7542857142859,60.0,31.374285714285715,13.01,59.841389791428576,10.829446108571428,18.0,2421.0
13,199.37857142857143,746.9214285714286,60.0,28.24285714285715,14.33,59.84139252,10.829536028571427,20.0,2846.0
14,199.69500000000002,579.71,60.0,21.92,15.47,59.84139379166667,10.829621316666667,21.0,2846.0
15,199.55285714285714,505.0528571428572,60.0,19.095714285714287,15.68,59.84140233,10.829735487142857,20.0,1921.0
16,199.11714285714285,565.3471428571429,60.0,21.375714285714285,15.76,59.84141104857142,10.829833849999998,22.0,1652.0
17,198.77666666666664,236.88000000000002,61.0,8.96,16.48,59.84142112666667,10.829921405,22.0,1652.0
18,198.9857142857143,193.89142857142858,61.0,7.11857142857143,16.92,59.841433931428575,10.830046517142858,22.0,1558.0
